"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g144",7.60364393190398,6.2960369847398,2.17002648654777,2.90136411871911,0.0037154187637869,0.0225793666616055
"g145",1382.72561691464,-0.330278984095236,0.647541330785156,-0.510050815898912,0.610015861462983,0.749613262393577
"g146",3761.91877450124,0.18467865530698,0.646056880050592,0.285855101941671,0.774989102864772,0.868811131377122
"g147",6.16025528221536,-1.73157680471261,1.15815469241299,-1.49511703061437,0.134883901930713,0.288356044763538
"g148",0,NA,NA,NA,NA,NA
"g149",0,NA,NA,NA,NA,NA
"g150",0,NA,NA,NA,NA,NA
"g151",0,NA,NA,NA,NA,NA
"g152",0,NA,NA,NA,NA,NA
"g153",1312.38278885429,-0.778563340337777,0.647796728143502,-1.20186365029819,0.229416359794797,0.40289540667824
"g154",23.0297000448472,-0.146616591306116,0.772827016569915,-0.189714629745804,0.849532756129031,0.913990487477292
"g155",0,NA,NA,NA,NA,NA
"g156",3102.97211272331,-0.50781726100512,0.646255686981618,-0.785783817821265,0.431994148498482,0.603594595477094
"g157",58.75574719281,1.19218465372854,0.708302122927359,1.68315837993162,0.0923444354467398,0.22141975098022
"g158",758.018566473447,2.2312362502054,0.652750252505879,3.41820817631213,0.000630348737814465,0.00632090032670306
"g159",599.510729676061,0.401644511888728,0.650700573435924,0.617249359052975,0.537070263473693,0.687919921104271
"g160",87.1191849155809,5.7602675787067,1.05906595899483,5.43900739116742,5.3578232683775e-08,2.70123589780699e-06
"g161",12.355921389344,6.99647375425618,2.15846772073084,3.24140763702838,0.00118940970155102,0.0100877505061453
"g162",406.825262368631,1.040314672787,0.654303895678139,1.58995640964172,0.111844631012933,0.257285177805416
"g163",1832.64919551469,0.499996924773069,0.647021728826116,0.772766821417587,0.439660392396158,0.61051622978717
"g164",14.25683237232,7.20292374672742,2.15599383053133,3.34088328302512,0.000835123224902716,0.00777307001640221
"g165",37.5252865013193,2.79198093442942,0.823225682785495,3.39151340004649,0.000695077641336872,0.00678261246788399
"g166",3483.07772233705,0.137389723178463,0.646123555739049,0.212636920536528,0.831610171504232,0.905563875529625
"g167",126.765893103547,-3.54871292157178,0.724404194231868,-4.89880228445489,9.64226091609668e-07,3.1819461023119e-05
"g168",1.05212712110741,-3.58929158146617,2.37057675858604,-1.51410055315275,0.130000338405299,0.281482257053423
"g169",2293.28114476003,-2.07040322620753,0.647385003575563,-3.19810192508711,0.00138335376732068,0.0114126685803956
"g170",0,NA,NA,NA,NA,NA
"g171",2304.10153697787,-0.23644020032653,0.646596452692219,-0.365668879471994,0.714612170766568,0.823838331060832
"g172",11.7613166015239,1.13349037034487,0.914354414414377,1.23966194341703,0.215100458888447,0.389755567936682
"g173",14.8337317476834,3.71135861016344,1.23641397316485,3.00171195951746,0.00268466068053823,0.0182496596823104
"g174",2.95303810408341,0.853381601300992,1.40616144727133,0.606887354902945,0.543925670457828,0.691818564737882
"g175",7.90865882076223,0.590348435809392,0.985547223627956,0.599005731695154,0.549169062401732,0.695077997391313
"g176",2.47781035833941,0.438344846644334,1.46653889776738,0.298897524853693,0.765018235709843,0.862347554688748
"g177",36.5040093600048,-0.883581753290752,0.734583900988748,-1.20283299443597,0.229040953978798,0.402819119642943
"g178",393.19562721846,-0.768811226946554,0.653830442642411,-1.17585718988467,0.239651948450053,0.413075295761487
"g179",158.122340600435,0.609617177650115,0.66642245118771,0.914760864619199,0.360317184056364,0.538251595936049
"g180",370.645177796452,-2.63728012652011,0.662551279712861,-3.98049208759066,6.87727540474783e-05,0.00104619834145909
"g181",0,NA,NA,NA,NA,NA
"g182",0,NA,NA,NA,NA,NA
"g183",0,NA,NA,NA,NA,NA
"g184",68.3442683248527,0.91611867537335,0.696181086603614,1.31592008602636,0.188200866319086,0.356932677501715
"g185",159.494907600297,0.106502453432641,0.665200093376664,0.160105890683234,0.872797660944086,0.924228561618154
